__id,countryName,iso3166Alpha2Code,iso3166Alpha3Code,m49code,wbCountryCode,wbIncomeLevelCode,wbIncomeLevelName,wbLendingTypeCode,wbLendingTypeName,wbRegion,wbRegionCode,responseDate,roundId,extendedBreakCode,educationStatusCode,educationStatusPrePrimaryCode,educationStatusPrimaryCode,educationStatusLowerSecondaryCode,educationStatusUpperSecondaryCode,educationStatusHigherCode,educationStatusVocationalCode,vaccineAvailabilityForTeachersCode,inPersonAdditionalSupportPrePrimary,inPersonAdditionalSupportPrimary,inPersonAdditionalSupportLowerSecondary,inPersonAdditionalSupportUpperSecondary,remoteEducationModalitiesPrePrimaryCode,remoteEducationModalitiesPrimaryCode,remoteEducationModalitiesLowerSecondaryCode,remoteEducationModalitiesUpperSecondaryCode,remoteEducationModalitiesHigherCode,remoteEducationModalitiesVocationalCode,inPersonPrioritizationCategoriesCode,inPersonPrioritizationGradeLevelCode,inPersonPrioritizationStudentNeedCode,inPersonPrioritizationGeographyCode,inPersonLearningCoveragePrePrimaryCode,inPersonLearningCoveragePrimaryCode,inPersonLearningCoverageLowerSecondaryCode,inPersonLearningCoverageUpperSecondaryCode,inPersonLearningCoverageHigherCode,inPersonLearningCoverageVocationalCode
reco2S9XeAisbpJxz,Afghanistan,AF,AFG,4,AFG,LIC,Low income,IDX,IDA,South Asia,SAR,2021-01-29,1,2,3,,,,,,,,,,,,,1,1,1,1,1,,,,,1,1,1,1,1,1
rec1zyw2hisAeiB6H,Afghanistan,AF,AFG,4,AFG,LIC,Low income,IDX,IDA,South Asia,SAR,2021-03-01,2,2,3,,,,,,,,,,,,7,7,7,7,7,7,1,"2,19,20",,,4,4,4,4,4,4
recyCcpqiwKW9wxn6,Afghanistan,AF,AFG,4,AFG,LIC,Low income,IDX,IDA,South Asia,SAR,2022-01-29,25,2,"5,4",5,5,4,4,4,5,2,8,8,8,8,,,,,,,5,,,,5,5,5,5,5,5
reckMF8pHXfmfcUZ0,Albania,AL,ALB,8,ALB,UMC,Upper middle income,IBD,IBRD,Europe and Central Asia,ECA,2021-02-03,1,2,"3,4",,,,,,,,,,,,"1,2,4","1,2,4","1,2,4","1,2,4","1,4","1,4",5,,,,2,2,2,2,2,2
recEDAOLp7bg8bt2D,Albania,AL,ALB,8,ALB,UMC,Upper middle income,IBD,IBRD,Europe and Central Asia,ECA,2021-03-04,2,2,"3,4",,,,,,,2,8,8,8,8,"1,2,4","1,2,4","1,2,4","1,2,4","1,4","1,4",5,,,,2,2,2,2,2,2
rec6uvk6Oljd2AVV1,Albania,AL,ALB,8,ALB,UMC,Upper middle income,IBD,IBRD,Europe and Central Asia,ECA,2021-06-04,8,2,4,4,4,4,4,2,4,1,8,8,8,8,"1,2,4","1,2,4","1,2,4","1,2,4","1,4","1,4",5,,,15,2,2,2,2,6,2
recrLv5JCT8mNKQmd,Albania,AL,ALB,8,ALB,UMC,Upper middle income,IBD,IBRD,Europe and Central Asia,ECA,2021-08-31,14,2,4,4,4,4,4,2,4,1,8,8,8,8,"1,2,4","1,2,4","1,2,4","1,2,4","1,4","1,4",5,,,,2,2,2,2,6,2
recS5xWKw9wYeQbx8,Albania,AL,ALB,8,ALB,UMC,Upper middle income,IBD,IBRD,Europe and Central Asia,ECA,2021-09-02,15,2,4,4,4,4,4,3,4,1,8,8,8,8,"1,2,4","1,2,4","1,2,4","1,2,4","1,4","1,4",5,,,,2,2,2,2,6,2
rechKmO6vNAnCB2m5,Albania,AL,ALB,8,ALB,UMC,Upper middle income,IBD,IBRD,Europe and Central Asia,ECA,2022-01-28,25,2,4,4,4,4,4,3,4,1,8,8,8,8,"1,2,4","1,2,4","1,2,4","1,2,4","1,4","1,4",5,,,,2,2,2,2,6,2
rec8ByPBCKXjxtT0r,Algeria,DZ,DZA,12,DZA,LMC,Lower middle income,IBD,IBRD,Middle East and North Africa,MENA,2021-01-27,1,3,4,,,,,,,,,,,,,,,,,,5,,,,2,1,1,1,1,5
recXW6bW3l3zAH3E0,Algeria,DZ,DZA,12,DZA,LMC,Lower middle income,IBD,IBRD,Middle East and North Africa,MENA,2021-02-23,2,2,4,,,,,,,2,2,"2,6","2,6","2,6",,,,,,,5,,,,2,1,1,1,1,1
recEEbnyaI7dOkmGw,Algeria,DZ,DZA,12,DZA,LMC,Lower middle income,IBD,IBRD,Middle East and North Africa,MENA,2021-04-05,4,2,4,,,,,,,2,2,"2,5","2,5","2,5",,,,,,,5,,,,2,1,1,1,1,1
recp6I0uKEv0PIK4D,Algeria,DZ,DZA,12,DZA,LMC,Lower middle income,IBD,IBRD,Middle East and North Africa,MENA,2021-05-17,7,2,4,4,4,4,4,3,3,2,2,"2,5","2,5","2,5",6,6,6,6,1,1,5,,,,1,1,1,1,1,1
recNIm6WWjU9SJNak,Algeria,DZ,DZA,12,DZA,LMC,Lower middle income,IBD,IBRD,Middle East and North Africa,MENA,2021-08-30,14,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
